epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,16.4055,0.57306,0.5,1,0.57031,0.00028339,0.00028339,0.00028339
2,23.1661,0.48957,1,1,0.35693,0.000571898,0.000571898,0.000571898
3,32.7259,0.39251,1,1,0.27295,0.000848523,0.000848523,0.000848523
4,36.7082,0.31389,1,1,0.17078,0.00111327,0.00111327,0.00111327
5,40.4978,0.22773,0.9,1,0.18835,0.00136613,0.00136613,0.00136613
6,43.9117,0.16508,0.8,1,0.33569,0.00150197,0.00150197,0.00150197
7,47.653,0.14839,0.9,1,0.26294,0.00146896,0.00146896,0.00146896
8,51.013,0.17637,0.8,1,0.21704,0.00143595,0.00143595,0.00143595
9,55.1885,0.24883,0.8,1,0.18652,0.00140295,0.00140295,0.00140295
10,58.4312,0.17186,1,1,0.07593,0.00136994,0.00136994,0.00136994
11,62.1597,0.12262,0.9,1,0.35034,0.00133693,0.00133693,0.00133693
12,65.5021,0.11122,1,1,0.03339,0.00130393,0.00130393,0.00130393
13,69.2319,0.23748,1,1,0.0694,0.00127092,0.00127092,0.00127092
14,72.9333,0.1376,1,1,0.0099,0.00123791,0.00123791,0.00123791
15,76.4656,0.11416,1,1,0.01034,0.00120491,0.00120491,0.00120491
16,79.8821,0.04855,1,1,0.01296,0.0011719,0.0011719,0.0011719
17,83.7291,0.07975,1,1,0.01105,0.00113889,0.00113889,0.00113889
18,87.3198,0.06271,1,1,0.04276,0.00110589,0.00110589,0.00110589
19,90.8164,0.09052,1,1,0.08551,0.00107288,0.00107288,0.00107288
20,94.581,0.07528,1,1,0.06274,0.00103987,0.00103987,0.00103987
21,97.9902,0.09924,1,1,0.04428,0.00100687,0.00100687,0.00100687
22,101.576,0.05082,1,1,0.02806,0.000973861,0.000973861,0.000973861
23,105.535,0.10342,1,1,0.00682,0.000940855,0.000940855,0.000940855
24,108.826,0.02452,1,1,0.00327,0.000907848,0.000907848,0.000907848
25,112.67,0.06289,1,1,0.00156,0.000874842,0.000874842,0.000874842
26,116.346,0.06605,1,1,0.00451,0.000841835,0.000841835,0.000841835
27,120.011,0.0152,1,1,0.01129,0.000808828,0.000808828,0.000808828
28,123.449,0.0645,1,1,0.00396,0.000775822,0.000775822,0.000775822
29,127.124,0.0512,1,1,0.00207,0.000742815,0.000742815,0.000742815
30,131.07,0.02414,1,1,0.00169,0.000709809,0.000709809,0.000709809
31,135.088,0.03594,1,1,0.00138,0.000676802,0.000676802,0.000676802
32,138.647,0.0374,1,1,0.00146,0.000643795,0.000643795,0.000643795
33,142.117,0.02555,1,1,0.00118,0.000610789,0.000610789,0.000610789
34,145.786,0.03741,1,1,0.00109,0.000577782,0.000577782,0.000577782
35,149.274,0.02007,1,1,0.00081,0.000544776,0.000544776,0.000544776
36,152.899,0.03318,1,1,0.00082,0.000511769,0.000511769,0.000511769
37,156.494,0.01409,1,1,0.00138,0.000478762,0.000478762,0.000478762
38,160.118,0.0133,1,1,0.00087,0.000445756,0.000445756,0.000445756
39,163.639,0.02073,1,1,0.00119,0.000412749,0.000412749,0.000412749
40,167.002,0.00806,1,1,0.00184,0.000379743,0.000379743,0.000379743
41,186.639,0.01176,1,1,0.00177,0.000346736,0.000346736,0.000346736
42,190.082,0.0244,1,1,0.00116,0.000313729,0.000313729,0.000313729
43,193.955,0.02932,1,1,0.00112,0.000280723,0.000280723,0.000280723
44,197.172,0.0201,1,1,0.00082,0.000247716,0.000247716,0.000247716
45,201.005,0.01567,1,1,0.00044,0.00021471,0.00021471,0.00021471
46,204.458,0.02013,1,1,0.00108,0.000181703,0.000181703,0.000181703
47,208.354,0.0095,1,1,0.00084,0.000148696,0.000148696,0.000148696
48,211.633,0.02231,1,1,0.00045,0.00011569,0.00011569,0.00011569
49,215.458,0.03242,1,1,0.00034,8.26832e-05,8.26832e-05,8.26832e-05
50,218.807,0.27921,1,1,0.00043,4.96766e-05,4.96766e-05,4.96766e-05
