epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7716,1.46774,3.32459,1.38624,0.04152,1,0.27726,0.17612,1.02554,3.08016,1.10859,0.00014443,0.00014443,0.00014443
2,19.1642,1.20497,2.73334,1.22973,0.0347,1,0.33768,0.25014,0.92905,2.85071,1.02783,0.000294031,0.000294031,0.000294031
3,20.7481,1.18752,2.14323,1.26698,0.77696,0.2,0.43418,0.32273,0.91745,2.43918,1.02227,0.000437472,0.000437472,0.000437472
4,22.4429,1.19819,1.85755,1.29463,0.38993,0.47524,0.57743,0.43043,0.93439,1.8486,1.046,0.000574754,0.000574754,0.000574754
5,24.0735,1.13929,1.60578,1.28188,0.40158,0.65125,0.57248,0.40319,1.04065,1.73876,1.11041,0.000705876,0.000705876,0.000705876
6,25.5458,1.13168,1.49996,1.24587,0.50805,0.74151,0.69858,0.51666,0.93563,1.39,1.06007,0.000830839,0.000830839,0.000830839
7,27.0015,1.07125,1.38229,1.1695,0.56845,0.66863,0.70742,0.49622,1.10228,1.43538,1.18829,0.000949643,0.000949643,0.000949643
8,28.5344,1.06356,1.34583,1.19504,0.54111,0.90524,0.7461,0.54896,0.96549,1.45064,1.10375,0.000957015,0.000957015,0.000957015
9,30.0767,1.09812,1.34989,1.19299,0.56608,0.87227,0.71146,0.5296,0.93571,1.28513,1.06693,0.000935018,0.000935018,0.000935018
10,31.4935,1.05576,1.32069,1.19334,0.56585,0.88054,0.72486,0.53083,1.0011,1.31382,1.13938,0.00091302,0.00091302,0.00091302
11,32.9636,1.04438,1.28103,1.18255,0.5644,0.90952,0.76083,0.57135,0.96759,1.11879,1.11453,0.000891022,0.000891022,0.000891022
12,34.5119,1.02068,1.21042,1.1279,0.6583,0.78762,0.76871,0.55631,1.03286,1.06604,1.17846,0.000869024,0.000869024,0.000869024
13,36.2301,1.01894,1.17473,1.17025,0.83921,0.71364,0.78957,0.58131,0.99767,1.01148,1.1672,0.000847026,0.000847026,0.000847026
14,37.8904,1.05118,1.21182,1.16935,0.66544,0.83238,0.79243,0.60663,0.90694,0.99839,1.09942,0.000825029,0.000825029,0.000825029
15,39.4166,1.02153,1.17827,1.14353,0.67357,0.87685,0.81424,0.60881,0.94769,0.91488,1.10644,0.000803031,0.000803031,0.000803031
16,41.0533,1.04334,1.17173,1.18127,0.6645,0.84965,0.83205,0.64606,0.87017,0.9963,1.03652,0.000781033,0.000781033,0.000781033
17,42.5029,1.01493,1.07641,1.14419,0.77514,0.85323,0.87488,0.68156,0.86747,0.89319,1.04116,0.000759035,0.000759035,0.000759035
18,44.2053,1.01478,1.10027,1.17596,0.8052,0.87503,0.88526,0.69131,0.86401,0.85958,1.03082,0.000737037,0.000737037,0.000737037
19,45.7891,0.95199,1.06626,1.11741,0.84007,0.87077,0.90577,0.71525,0.8426,0.83006,1.00697,0.00071504,0.00071504,0.00071504
20,47.2243,0.95714,0.99861,1.11491,0.67314,0.95718,0.84738,0.65922,0.89309,0.98271,1.00668,0.000693042,0.000693042,0.000693042
21,48.6505,0.95065,0.96858,1.09465,0.88214,0.79989,0.92789,0.72869,0.88167,0.8155,1.02232,0.000671044,0.000671044,0.000671044
22,50.0622,0.92147,0.92534,1.0931,0.90109,0.87055,0.93063,0.71965,0.90872,0.77853,1.04988,0.000649046,0.000649046,0.000649046
23,51.5068,0.93691,0.92451,1.10679,0.8948,0.9015,0.94486,0.74148,0.88063,0.75004,1.03165,0.000627048,0.000627048,0.000627048
24,52.9656,0.94883,0.94822,1.10591,0.79998,0.90348,0.93266,0.73757,0.83947,0.78943,0.99263,0.000605051,0.000605051,0.000605051
25,54.5123,0.96206,0.9465,1.12306,0.90152,0.91619,0.9491,0.75008,0.84741,0.72659,1.01614,0.000583053,0.000583053,0.000583053
26,56.2235,0.91404,0.88083,1.09784,0.88842,0.92945,0.94559,0.75093,0.8306,0.72974,1.02225,0.000561055,0.000561055,0.000561055
27,57.6932,0.8845,0.87253,1.0733,0.90863,0.93492,0.95364,0.75953,0.82225,0.70306,1.01911,0.000539057,0.000539057,0.000539057
28,59.4535,0.8759,0.88277,1.09379,0.92855,0.95467,0.968,0.74949,0.87446,0.6612,1.04312,0.000517059,0.000517059,0.000517059
29,60.8637,0.90135,0.86166,1.07445,0.95165,0.93182,0.97054,0.76621,0.87684,0.66352,1.02613,0.000495062,0.000495062,0.000495062
30,62.494,0.88587,0.83773,1.07472,0.92322,0.93639,0.96132,0.74237,0.91764,0.65291,1.04694,0.000473064,0.000473064,0.000473064
31,64.0067,0.90896,0.83638,1.10262,0.93609,0.9172,0.94391,0.71653,0.94633,0.6791,1.06306,0.000451066,0.000451066,0.000451066
32,65.4363,0.85855,0.78435,1.05031,0.93182,0.92005,0.95451,0.73269,0.92464,0.66613,1.04491,0.000429068,0.000429068,0.000429068
33,66.8616,0.90116,0.80188,1.08172,0.84122,0.94343,0.96173,0.7468,0.88308,0.63544,1.02682,0.00040707,0.00040707,0.00040707
34,68.586,0.88683,0.78305,1.07568,0.9227,0.9581,0.96197,0.74934,0.87016,0.59771,1.02082,0.000385073,0.000385073,0.000385073
35,70.2646,0.86941,0.79052,1.06562,0.9362,0.94883,0.95061,0.74144,0.86813,0.60704,1.0218,0.000363075,0.000363075,0.000363075
36,71.704,0.8368,0.76575,1.05168,0.90672,0.9348,0.94513,0.74231,0.86719,0.63306,1.03031,0.000341077,0.000341077,0.000341077
37,73.3111,0.86607,0.76821,1.06895,0.91269,0.94182,0.94045,0.74306,0.84169,0.63104,1.01688,0.000319079,0.000319079,0.000319079
38,74.934,0.85007,0.75152,1.06137,0.9367,0.92777,0.94919,0.7506,0.84288,0.60113,1.01154,0.000297081,0.000297081,0.000297081
39,76.3312,0.83595,0.75234,1.04635,0.94053,0.93388,0.95692,0.75518,0.86274,0.60082,1.01628,0.000275084,0.000275084,0.000275084
40,77.8023,0.83672,0.73514,1.06958,0.91875,0.91854,0.95341,0.73882,0.88915,0.62264,1.02833,0.000253086,0.000253086,0.000253086
41,96.8345,0.75388,0.68062,0.9949,0.88798,0.93604,0.9544,0.74363,0.85768,0.64342,1.0152,0.000231088,0.000231088,0.000231088
42,98.4074,0.7188,0.64101,0.9871,0.91077,0.91253,0.94322,0.73135,0.86106,0.67032,1.00895,0.00020909,0.00020909,0.00020909
43,100.149,0.7465,0.67794,0.98283,0.91555,0.91367,0.94158,0.74946,0.84852,0.67465,1.00122,0.000187092,0.000187092,0.000187092
44,101.635,0.72812,0.65873,0.97548,0.87902,0.94853,0.95243,0.75013,0.87119,0.63725,1.03253,0.000165095,0.000165095,0.000165095
45,103.178,0.71045,0.6362,0.97671,0.89556,0.97259,0.95311,0.73141,0.8963,0.62062,1.04414,0.000143097,0.000143097,0.000143097
46,104.695,0.71591,0.62509,0.9868,0.8888,0.96872,0.95311,0.74142,0.87295,0.60552,1.02624,0.000121099,0.000121099,0.000121099
47,106.083,0.69335,0.59946,0.96432,0.90283,0.96,0.95494,0.74359,0.86753,0.59979,1.02111,9.91012e-05,9.91012e-05,9.91012e-05
48,107.39,0.68584,0.60736,0.96671,0.90638,0.96,0.95565,0.74519,0.86687,0.59327,1.02094,7.71034e-05,7.71034e-05,7.71034e-05
49,108.909,0.67603,0.58974,0.95386,0.92063,0.96,0.96371,0.75561,0.87118,0.58928,1.02322,5.51056e-05,5.51056e-05,5.51056e-05
50,110.226,0.69136,0.59668,0.9693,0.92168,0.95595,0.96508,0.75361,0.87431,0.58466,1.0239,3.31078e-05,3.31078e-05,3.31078e-05
