epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,5.51251,1.16853,2.39339,3.47834,1.25182,0,0.00971,0.86753,0.19413,0.13553,0.0079,0.77378,0.16861,0.12155,0.70421,2.07272,3.10048,1.04119,0,5e-05,5e-05,5e-05
2,8.61409,1.01457,1.94009,3.33877,1.15956,0,0.01156,0.99219,0.23818,0.16372,0.00945,0.86128,0.21121,0.12984,0.85958,1.60084,3.08345,1.06105,0,0.000110272,0.000110272,0.000110272
3,10.4224,0.7738,1.22437,2.95678,1.00061,0,0.01283,0.93941,0.30364,0.1961,0.01202,0.93316,0.27007,0.15858,0.88191,1.51174,3.04597,1.12617,0,0.00016807,0.00016807,0.00016807
4,12.0393,0.8157,1.10851,2.59757,1.03248,0,0.01526,0.975,0.34856,0.25496,0.01418,0.92378,0.33899,0.19944,0.8209,2.10625,2.91265,1.08425,0,0.000223392,0.000223392,0.000223392
5,13.2901,0.74555,1.04851,2.20455,0.99625,0,0.01622,0.94722,0.59595,0.47068,0.0152,0.92378,0.5692,0.42299,0.91582,1.97551,2.81649,1.1952,0,0.00027624,0.00027624,0.00027624
6,14.5983,0.7663,0.89088,2.0157,0.98165,0,0.01641,0.94722,0.64563,0.51206,0.01538,0.92378,0.61776,0.46413,0.88195,1.74525,2.71249,1.15074,0,0.000326613,0.000326613,0.000326613
7,15.7012,0.80554,0.93181,1.75276,1.00994,0,0.84431,0.24362,0.65742,0.52278,0.91886,0.25924,0.63343,0.49851,0.91093,1.74269,2.39856,1.16059,0,0.00037451,0.00037451,0.00037451
8,16.892,0.82692,0.84256,1.59442,1.03162,0,0.85758,0.35072,0.64726,0.51737,0.83104,0.32826,0.6267,0.50671,1.00353,1.48046,2.22971,1.23563,0,0.000419932,0.000419932,0.000419932
9,18.1778,0.81558,0.86565,1.42694,1.00441,0,0.86633,0.45008,0.64704,0.49857,0.84971,0.43445,0.62359,0.51748,1.15939,1.40083,2.12925,1.36785,0,0.00046288,0.00046288,0.00046288
10,19.4782,0.79148,0.83042,1.54469,1.02677,0,0.58765,0.43412,0.56514,0.39096,0.58765,0.43412,0.57281,0.45354,1.36064,1.26614,2.12974,1.63188,0,0.000503353,0.000503353,0.000503353
11,20.858,0.86188,0.89416,1.35843,1.04946,0,0.49853,0.51932,0.53758,0.37573,0.51139,0.53494,0.56456,0.45487,1.56014,1.30072,2.10971,1.56745,0,0.00054135,0.00054135,0.00054135
12,22.2981,0.79925,0.78765,1.27462,1.02599,0,0.78881,0.58074,0.62507,0.44695,0.81201,0.61747,0.65372,0.52922,1.42983,1.37306,1.94248,1.45946,0,0.000576873,0.000576873,0.000576873
13,23.4697,0.78595,0.80369,1.19917,1.03157,0,0.82211,0.59493,0.68364,0.51785,0.85385,0.63577,0.7216,0.57881,1.2041,1.27756,1.8378,1.28541,0,0.00060992,0.00060992,0.00060992
14,24.6971,0.78633,0.74127,1.1812,1.02461,0,0.82211,0.59493,0.68364,0.51785,0.85385,0.63577,0.7216,0.57881,1.2041,1.27756,1.8378,1.28541,0,0.000640492,0.000640492,0.000640492
15,25.7486,0.80335,0.81059,1.22381,1.05523,0,0.85171,0.70872,0.76769,0.58121,0.8586,0.71654,0.77259,0.63052,1.11517,1.40581,1.75861,1.25898,0,0.00066859,0.00066859,0.00066859
16,27.0476,0.84135,0.80609,1.25466,1.04382,0,0.87577,0.75037,0.79302,0.61822,0.87688,0.7529,0.78328,0.64779,1.02755,1.08386,1.64897,1.20037,0,0.000694212,0.000694212,0.000694212
17,28.2432,0.76531,0.74567,1.09007,1.00763,0,0.84529,0.80414,0.79469,0.62607,0.83746,0.80907,0.7617,0.62985,1.03769,1.32094,1.47862,1.12956,0,0.00071736,0.00071736,0.00071736
18,29.4104,0.80772,0.85774,1.13356,1.03137,0,0.84529,0.80414,0.79469,0.62607,0.83746,0.80907,0.7617,0.62985,1.03769,1.32094,1.47862,1.12956,0,0.000738032,0.000738032,0.000738032
19,30.798,0.73849,0.66925,0.99329,0.99245,0,0.84308,0.80009,0.80699,0.61938,0.8166,0.76884,0.76335,0.64179,1.05431,1.14421,1.34602,1.16325,0,0.00075623,0.00075623,0.00075623
20,32.2251,0.73051,0.67824,1.00061,0.98597,0,0.84166,0.79678,0.79223,0.59575,0.81746,0.77477,0.76653,0.6459,1.19317,1.19194,1.40063,1.20222,0,0.000771953,0.000771953,0.000771953
21,33.4364,0.83736,0.73739,1.11483,1.00702,0,0.84166,0.79678,0.79223,0.59575,0.81746,0.77477,0.76653,0.6459,1.19317,1.19194,1.40063,1.20222,0,0.000755,0.000755,0.000755
22,34.7368,0.74869,0.74712,1.02343,1.00425,0,0.83273,0.76285,0.792,0.62137,0.81145,0.7316,0.76137,0.63055,1.02296,1.41371,1.37359,1.12657,0,0.00073025,0.00073025,0.00073025
23,35.82,0.72628,0.68696,1.00243,0.99864,0,0.83268,0.7941,0.81901,0.65327,0.80794,0.76285,0.78319,0.64638,0.94086,1.39952,1.18904,1.08814,0,0.0007055,0.0007055,0.0007055
24,36.9878,0.7115,0.65468,0.93622,0.9693,0,0.83268,0.7941,0.81901,0.65327,0.80794,0.76285,0.78319,0.64638,0.94086,1.39952,1.18904,1.08814,0,0.00068075,0.00068075,0.00068075
25,38.2934,0.74905,0.69559,0.92629,1.01839,0,0.83831,0.83388,0.81502,0.67887,0.81883,0.80129,0.78588,0.67664,0.83399,1.17029,1.12609,1.0733,0,0.000656,0.000656,0.000656
